CountryName,2010,2011,2012,2013,2014,2015,2016
Grenada,7257.756622,7291.058897,7444.504768,7789.776381,8369.886755,9096.870646,9628.347487
Greenland,43988.33249,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131,48181.87419
Guatemala,2825.483963,3187.866203,3299.665605,3452.922,3687.836951,3923.573344,4140.589826
Guam,30700.43401,30859.40435,32494.56236,33265.38119,34394.09748,35278.92594,35562.83791
Guyana,3033.247725,3425.436441,3788.146749,3934.865262,4031.600662,4166.128516,4542.622067
High income,39173.97285,42087.38421,41886.56882,42143.58625,42802.02865,40196.17217,40791.78767
"Hong Kong SAR, China",32549.99823,35142.48793,36730.8767,38403.77771,40315.28556,42431.88828,43734.24999
Honduras,1904.346465,2088.3153,2144.342611,2102.593166,2206.051934,2302.201379,2342.584651
Heavily indebted poor countries (HIPC),764.1688383,831.0473611,868.8789866,941.4581255,967.6732386,923.9239865,920.7501616
Croatia,13923.63705,14566.62973,13238.11795,13642.19778,13600.18618,11782.90255,12360.47326
Haiti,665.6274195,744.2174268,769.749381,815.8200152,831.8739489,815.7282844,735.3017703
Hungary,13113.52596,14150.96673,12918.24752,13687.2461,14246.1098,12651.56834,12992.37567
IBRD only,4521.053394,5288.638535,5566.664559,5825.524941,5957.867212,5570.853749,5551.071187
IDA & IBRD total,3704.494234,4310.21802,4528.268025,4736.734756,4843.655198,4526.942202,4487.855307
IDA total,1075.137981,1197.939587,1266.859668,1361.256347,1434.647229,1374.696969,1317.308515
IDA blend,1552.918372,1756.293534,1889.31544,2004.504298,2125.517049,1973.259134,1787.180316
Indonesia,3122.362815,3643.043936,3694.348946,3623.911582,3491.624791,3331.695128,3562.845756
IDA only,825.713426,904.9364455,938.6537343,1022.317901,1069.699934,1059.88981,1073.867893
Isle of Man,69766.52119,77351.95888,76104.68137,80431.6728,88974.22865,81606.28003,79155.54167
India,1357.563719,1458.103527,1443.879529,1449.605912,1573.881492,1605.605431,1729.268021
Not classified,,,,,,,
Ireland,48715.17686,51848.90973,48917.89756,51590.18845,55492.98268,61995.42278,63197.08237
